1.0     0.0
1.7626  0.0151
1.7731  0.0151
1.7837  0.0151
1.7944  0.0151
1.8052  0.0151
1.8159  0.017
1.8268  0.017
1.8378  0.017
1.8488  0.017
1.8598  0.0188
1.871  0.0188
1.8822  0.0188
1.8935  0.0207
1.9048  0.0207
1.9162  0.0207
1.9276  0.0207
1.9392  0.0225
1.9508  0.0225
1.9508  0.0244
1.9625  0.0244
1.9742  0.0244
1.986  0.0244
1.9979  0.0262
2.0099  0.0262
2.0219  0.0281
2.034  0.0281
2.0462  0.0281
2.0585  0.0299
2.0708  0.0299
2.0832  0.0317
2.0957  0.0317
2.1082  0.0318
2.1208  0.0336
2.1335  0.0336
2.1463  0.0354
2.1592  0.0354
2.1721  0.0373
2.1851  0.0373
2.1982  0.0391
2.2114  0.0391
2.2246  0.041
2.2379  0.041
2.2513  0.0428
2.2648  0.0428
2.2784  0.0446
2.292  0.0465
2.3057  0.0465
2.3195  0.0483
2.3334  0.0483
2.3474  0.0502
2.3615  0.052
2.3756  0.052
2.3899  0.0538
2.4042  0.0557
2.4186  0.0557
2.4331  0.0575
2.4477  0.0594
2.4623  0.0594
2.4771  0.0612
2.4919  0.063
2.5068  0.0649
2.5218  0.0649
2.5369  0.0649
2.5521  0.0667
2.5522  0.0686
2.5674  0.0686
2.5675  0.0704
2.5828  0.0722
2.5983  0.0741
2.6139  0.0741
2.6295  0.0741
2.6453  0.0759
2.6611  0.0778
2.6771  0.0796
2.6931  0.0814
2.7093  0.0833
2.7255  0.0851
2.7418  0.0869
2.7583  0.0888
2.7748  0.0906
2.7748  0.0924
2.7913  0.0925
2.8082  0.0943
2.8082  0.0961
2.825  0.098
2.8251  0.0998
2.842  0.1016
2.859  0.1035
2.8761  0.1053
2.8761  0.1071
2.8761  0.109
2.8935  0.1108
2.9108  0.1126
2.9283  0.1145
2.9458  0.1145
2.9458  0.1163
2.9634  0.1163
2.9811  0.1182
2.999  0.12
2.999  0.1218
3.017  0.1218
3.0171  0.1237
3.0352  0.1255
3.0352  0.1273
3.0533  0.1273
3.0534  0.1292
3.0717  0.131
3.0901  0.1329
3.0901  0.1347
3.1086  0.1347
3.1086  0.1365
3.1273  0.1384
3.1273  0.1402
3.146  0.1402
3.1461  0.142
3.1649  0.1439
3.1839  0.1457
3.1839  0.1475
3.203  0.1475
3.203  0.1494
3.203  0.1512
3.2222  0.153
3.2223  0.1549
3.2416  0.1567
3.261  0.1586
3.261  0.1604
3.2806  0.1622
3.3003  0.1641
3.32  0.1659
3.3201  0.1677
3.3399  0.1677
3.34  0.1696
3.34  0.1714
3.3599  0.1732
3.3601  0.1751
3.3801  0.1769
3.4005  0.1787
3.4005  0.1806
3.4209  0.1824
3.4209  0.1843
3.421  0.1861
3.4415  0.1879
3.4621  0.1898
3.4828  0.1916
3.4828  0.1934
3.5037  0.1953
3.5247  0.1971
3.5459  0.1989
3.5459  0.2008
3.5459  0.2026
3.5672  0.2044
3.5672  0.2063
3.5886  0.2081
3.5887  0.2099
3.5887  0.2118
3.6101  0.2136
3.6101  0.2155
3.6319  0.2173
3.6537  0.2191
3.6756  0.221
3.6756  0.2227
3.6976  0.2246
3.6977  0.2265
3.7198  0.2283
3.7199  0.2301
3.7422  0.232
3.7422  0.2338
3.7646  0.2356
3.7647  0.2375
3.7872  0.2393
3.7873  0.2411
3.7873  0.2429
3.81  0.2448
3.8101  0.2467
3.8329  0.2485
3.8559  0.2503
3.879  0.2522
3.879  0.254
3.9022  0.2558
3.9022  0.2577
3.9257  0.2595
3.9257  0.2612
3.9493  0.2631
3.9493  0.265
3.9729  0.2668
3.9729  0.2687
3.9968  0.2705
3.9969  0.2723
4.0208  0.2742
4.0209  0.276
4.045  0.2779
4.045  0.2797
4.0693  0.2814
4.0693  0.2833
